"long" "lat"
"247" -58.955894470215 -29.1097078201175
"248" -57.955894470215 -29.1097078201174
"249" -63.955894470215 -29.1097078201175
"250" -62.955894470215 -29.1097078201175
"251" -63.955894470215 -28.109707819711
"252" -62.955894470215 -28.109707819711
"253" -61.955894470215 -28.109707819711
"254" -63.955894470215 -27.1097078193406
"255" -62.955894470215 -27.1097078193406
"256" -61.955894470215 -27.1097078193406
"257" -62.955894470215 -26.1097078190113
"258" -61.955894470215 -26.1097078190113
"259" -60.955894470215 -29.1097078201175
"260" -59.955894470215 -29.1097078201175
"261" -60.955894470215 -28.109707819711
"262" -59.955894470215 -28.109707819711
"263" -58.955894470215 -28.109707819711
"264" -60.955894470215 -27.1097078193406
"265" -59.955894470215 -27.1097078193406
"266" -58.9736289810701 -27.107788316378
"267" -59.955894470215 -26.1097078190113
"268" -58.955894470215 -26.1097078190113
"269" -57.0125981152826 -29.0578985606189
"270" -57.955894470215 -28.109707819711
"271" -56.955894470215 -28.109707819711
"272" -58.0046909834325 -27.4542069176354
"275" -58.2904318171058 -32.0741127026748
"278" -56.017545468393 -28.0444596131484
"280" -54.916469761486 -27.1627404095562
"281" -54.1256572335414 -26.953061815998
"283" -54.0942007842571 -26.1435559261649
"285" -68.955894470215 -32.1097078215013
"286" -67.955894470215 -32.1097078215013
"287" -69.9142043035479 -31.1370452004938
"288" -68.955894470215 -31.1097078210178
"289" -67.955894470215 -31.1097078210178
"290" -66.955894470215 -31.1097078210178
"291" -68.955894470215 -30.1097078205548
"292" -67.955894470215 -30.1097078205548
"293" -66.955894470215 -30.1097078205548
"294" -67.955894470215 -29.1097078201175
"295" -69.7195662633342 -30.155296537357
"296" -69.6698357160277 -29.1923813110874
"297" -68.955894470215 -29.1097078201175
"299" -68.8865923817467 -28.1645164682936
"300" -66.955894470215 -29.1097078201175
"301" -65.955894470215 -29.1097078201175
"302" -67.955894470215 -28.109707819711
"303" -66.955894470215 -28.109707819711
"304" -65.955894470215 -28.109707819711
"305" -64.955894470215 -28.109707819711
"306" -66.955894470215 -27.1097078193406
"307" -65.955894470215 -27.1097078193406
"308" -64.955894470215 -27.1097078193406
"309" -65.955894470215 -26.1097078190113
"311" -67.938186018417 -27.1172821700539
"313" -67.949411518784 -26.1098885705222
"314" -66.955894470215 -26.1097078190113
"316" -67.9503579400757 -25.1104380586167
"317" -66.955894470215 -25.1097078187281
"318" -64.955894470215 -26.1097078190113
"319" -63.955894470215 -26.1097078190113
"320" -65.955894470215 -25.1097078187281
"321" -64.955894470215 -25.1097078187281
"322" -63.955894470215 -25.1097078187281
"323" -64.955894470215 -24.1097078184957
"324" -63.955894470215 -24.1097078184957
"325" -62.955894470215 -24.1097078184957
"326" -64.955894470215 -23.1097078183186
"327" -63.9460826116152 -23.1205138796876
"329" -67.8384464003594 -24.4230739241582
"330" -66.9171864698678 -24.1390524446101
"331" -65.955894470215 -24.1097078184957
"332" -66.774263165754 -23.1187557084654
"333" -65.955894470215 -23.1097078183186
"335" -65.9724610858235 -22.2956419536647
"336" -65.0101869751807 -22.371677566695
"337" -62.955894470215 -23.1097078183186
"338" -63.7785814653422 -22.3328292421155
"339" -63.020065430893 -22.3355772990857
"341" -60.955894470215 -26.1097078190113
"342" -62.955894470215 -25.1097078187281
"343" -61.955894470215 -25.1097078187281
"344" -60.955894470215 -25.1097078187281
"345" -61.955894470215 -24.1097078184957
"346" -61.000497866998 -24.1801105551486
"347" -60.0138616264477 -24.3528984088894
"348" -62.0838758823944 -23.2335003344126
"350" -58.1904203361309 -25.9984505328409
"351" -59.955894470215 -25.1097078187281
"352" -58.9841818922947 -25.1525945652025
"353" -58.0791882829597 -25.3277695563573
"358" -68.8344761324884 -16.0410470235576
"359" -68.8756193729286 -15.1119923849423
"360" -68.7329400699063 -14.1264056735867
"361" -68.6950712342946 -13.1376206779912
"362" -67.955894470215 -13.1097078202725
"363" -68.6932647085697 -12.0148736957799
"364" -67.955894470215 -12.1097078208691
"366" -68.9299585945921 -11.2897234579873
"367" -67.9104765492537 -11.1672533929146
"372" -67.0124654593244 -22.0479355563337
"373" -65.9271918000277 -21.8252035144574
"374" -64.9097306285014 -21.8949847677321
"375" -67.7264835296429 -22.0646739117249
"377" -67.8889179456548 -21.070853074732
"378" -64.0631395370515 -21.9677564489788
"379" -62.9558582117416 -21.8300320823764
"381" -63.955894470215 -21.1097078181466
"382" -62.955894470215 -21.1097078181466
"384" -63.955894470215 -20.1097078181588
"385" -62.955894470215 -20.1097078181588
"386" -62.1841486365957 -20.0096368873736
"388" -59.964821927869 -18.971747677075
"390" -58.9206966631348 -19.0336783977086
"391" -58.134722632811 -19.0571774747272
"392" -59.955894470215 -18.1097078183936
"393" -58.955894470215 -18.1097078183936
"394" -58.0437927061367 -18.1248030256334
"395" -59.955894470215 -17.1097078186202
"396" -58.9569256864954 -17.1105775576011
"398" -58.9668944784621 -16.4551426355803
"400" -66.955894470215 -21.1097078181466
"401" -65.955894470215 -21.1097078181466
"402" -64.955894470215 -21.1097078181466
"403" -66.955894470215 -20.1097078181588
"404" -65.955894470215 -20.1097078181588
"405" -64.955894470215 -20.1097078181588
"406" -65.955894470215 -19.1097078182403
"407" -64.955894470215 -19.1097078182403
"408" -63.955894470215 -19.1097078182403
"409" -65.955894470215 -18.1097078183936
"411" -67.955894470215 -20.1097078181588
"413" -67.9540379023805 -19.1087765746065
"414" -66.955894470215 -19.1097078182403
"415" -68.8249102478227 -18.0560782233373
"416" -67.955894470215 -18.1097078183936
"417" -66.955894470215 -18.1097078183936
"418" -68.9109534311959 -17.1517589453868
"419" -62.955894470215 -19.1097078182403
"420" -61.9562160096423 -19.1093638017503
"421" -60.9710604018353 -19.0619742412875
"422" -62.955894470215 -18.1097078183936
"423" -61.955894470215 -18.1097078183936
